标题,发布时间,ID,链接,展现量,粉丝展现量,阅读量,粉丝阅读量,点击率,平均阅读完成率,平均阅读时长,点赞量,评论量,转发量,分享量,收藏量
AI 创业闷声发大财的 5 个真相：不追大模型，年入 8000 万美元,2025-09-04 11:21:38,7546068293094769192,https://toutiao.com/i7546068293094769192/,24,0,1,0,0.04,-1.00,-1,0,0,0,0,0
"Quarkdown：重新定义文档编写的""可编程Markdown""",2025-09-02 13:47:47,7545364250932396596,https://toutiao.com/i7545364250932396596/,1229,0,74,0,0.06,12.33,35,3,0,0,6,12
"OpenAI印度""AI下乡""套餐翻车记：GPT-5廉价版竟成""人工智障""？",2025-08-26 16:12:54,7542803743717229056,https://toutiao.com/i7542803743717229056/,539,0,0,0,0.00,0.00,0,0,0,0,0,0
百度、腾讯、阿里、字节，谁才是AI编程的“带头大哥”？,2025-08-25 18:39:19,7542468236001018408,https://toutiao.com/i7542468236001018408/,1714,5,73,1,0.04,32.68,63,5,2,0,9,2
狼..真的来了，企业微信5.0更新，一大波实用AI功能来袭！,2025-08-20 16:25:36,7540580813910344232,https://toutiao.com/i7540580813910344232/,2935,3,133,0,0.05,13.98,46,0,0,0,3,3
30+岁了，学习还来得及吗？从案例到哲思的完整回答,2025-08-19 18:32:20,7540239702465495604,https://toutiao.com/i7540239702465495604/,695,0,0,0,0.00,0.00,0,0,0,0,0,0
少走90%弯路！2025年Python高效学习路径全公开，附路线图,2025-08-13 11:01:43,7537895515275657743,https://toutiao.com/i7537895515275657743/,975,0,1,0,0.00,8.00,0,0,0,0,0,0
GPT-5时代：解析技术突破与个人机遇,2025-08-08 15:58:38,7536120654609859112,https://toutiao.com/i7536120654609859112/,1205,1,1,0,0.00,83.33,0,0,0,0,0,0
华为昇腾384超节点，从卡脖子到领先，人工智能领域的国之重器！,2025-07-31 15:06:11,7533136802249523747,https://toutiao.com/i7533136802249523747/,2364,0,26,0,0.01,34.57,32,1,0,0,3,1
Python界面开发首选：Streamlit全方位解析与应用,2025-07-28 14:44:25,7532018675742786094,https://toutiao.com/i7532018675742786094/,40306,24,2937,2,0.07,16.96,69,71,18,11,284,392
WAIC 2025全景深度报道：万物皆可AI，AI大时代全面来临！,2025-07-27 18:50:20,7531711840670335526,https://toutiao.com/i7531711840670335526/,198,0,3,0,0.02,42.33,0,0,0,0,0,0
能耗5GW，镶嵌在地表的芯片，超级数据中心Stargate“星际之门”,2025-07-23 17:45:51,7530210032584081935,https://toutiao.com/i7530210032584081935/,2289,1,13,0,0.01,52.61,123,0,0,0,1,0
腾讯放大招！CodeBuddy AI IDE震撼发布，编程从未如此简单！,2025-07-22 19:40:23,7529868751467233792,https://toutiao.com/i7529868751467233792/,54127,8,4788,0,0.09,24.50,52,58,32,4,263,302
「DeepSeek二代」来袭！数学暴击o3，英伟达开源LLM登顶,2025-07-21 11:38:51,7529374088452653608,https://toutiao.com/i7529374088452653608/,20152,1,853,1,0.04,53.89,52,19,8,5,34,40
Kiro：重塑AI编程体验的新一代智能集成开发环境,2025-07-17 17:10:03,7527973723459174947,https://toutiao.com/i7527973723459174947/,1527,1,1,1,0.00,99.00,105,0,0,0,1,0
